ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval,Shattering_Dimensionality
47s,0.5361328125,0.041,1.7944471981652648,0.5234375,0.214,0.8400318355252784,0.5234375,0.194,0.8896898445797203,0.5791015625,0.0,4.249130315210927,0.568359375,0.005,2.5992116335590136,0.57421875,0.0,2.935763432211363,0.4970703125,0.587,-0.2034630223220792,0.5029296875,0.445,0.22870940047596902,0.5595703125,0.001,3.3311627831213286,0.5374348958333334
LIPd,0.57421875,0.002,3.751645966338193,0.564453125,0.01,2.2551521958841123,0.6171875,0.0,4.179898236415957,0.703125,0.0,10.580814620592022,0.685546875,0.0,6.631034025523561,0.728515625,0.0,8.37587910046456,0.53515625,0.032,1.7853619264449268,0.548828125,0.006,2.464379955130183,0.697265625,0.0,10.484682504099007,0.6041666666666666
6a,0.5712890625,0.0,3.864420691888795,0.619140625,0.0,4.605082951491525,0.591796875,0.0,3.4135728745622163,0.65234375,0.0,7.573803106092801,0.623046875,0.0,4.825433363000485,0.626953125,0.0,4.772909284716333,0.505859375,0.429,0.26906276537267276,0.5771484375,0.0,4.027817115327958,0.6328125,0.0,7.291045059311703,0.5764973958333334
i6-8,0.541015625,0.023,1.9488439060314322,0.572265625,0.004,2.5461896842745912,0.55078125,0.037,1.7506263382945866,0.6015625,0.0,5.3923996021061384,0.626953125,0.0,5.003760400098688,0.587890625,0.0,3.2988607274686674,0.525390625,0.092,1.2901780412119188,0.5283203125,0.067,1.4963650584165795,0.58203125,0.0,4.317108705218915,0.5559895833333334
s6-8,0.5439453125,0.016,2.2069681750451235,0.515625,0.284,0.5889991701891677,0.54296875,0.064,1.5037563896995252,0.599609375,0.0,5.3001989059556855,0.60546875,0.0,3.911413909777432,0.576171875,0.003,2.817660485622272,0.517578125,0.182,0.9398253677419887,0.5439453125,0.012,2.26355779364757,0.5791015625,0.0,4.2051034992757295,0.5537109375
43,0.50390625,0.424,0.21731009179206323,0.482421875,0.77,-0.666738014020942,0.484375,0.736,-0.5887309563544519,0.5703125,0.0,3.566324438193261,0.6015625,0.0,3.8459300370135843,0.52734375,0.151,1.0338008296197494,0.5,0.54,-0.050843201544412006,0.509765625,0.314,0.4782839316570916,0.564453125,0.0,3.3739731425765442,0.5247395833333334
OP4,0.494140625,0.638,-0.3044972918385336,0.470703125,0.872,-1.0828735112190588,0.4765625,0.822,-0.8641363595093339,0.59375,0.0,5.1351738731963446,0.576171875,0.002,2.846180783794606,0.580078125,0.001,3.073143720509837,0.5048828125,0.406,0.2944324337970401,0.498046875,0.565,-0.1517860145793303,0.578125,0.0,4.146850507092113,0.5309244791666666
OP1,0.4404296875,0.999,-3.0959804004683678,0.4296875,0.996,-2.6238440596063257,0.49609375,0.571,-0.14087488706039053,0.583984375,0.0,4.1402190960869465,0.5859375,0.0,3.1941521097163195,0.54296875,0.06,1.5110007342224312,0.521484375,0.127,1.124338135227358,0.447265625,0.998,-2.759834988629526,0.5556640625,0.0,3.016877321295019,0.5152994791666666
OP2-3,0.4912109375,0.667,-0.4123216853566155,0.5,0.533,-0.039184389548354064,0.5234375,0.231,0.7756968482872015,0.5791015625,0.0,3.9394133541035234,0.5703125,0.008,2.5256367605647787,0.599609375,0.0,3.677590630385576,0.5126953125,0.269,0.6658196619875408,0.4970703125,0.582,-0.15529248942533858,0.5625,0.001,3.3126201609736063,0.5276692708333334
52,0.48828125,0.743,-0.5751260924810394,0.494140625,0.605,-0.21972342749713236,0.501953125,0.504,0.05534434766723574,0.5908203125,0.0,4.630184590579277,0.5703125,0.001,2.6139321834677736,0.54296875,0.05,1.636320271738156,0.5087890625,0.35,0.39385711299389614,0.478515625,0.88,-1.1549173532161878,0.58203125,0.0,4.239955717767162,0.529296875
RI,0.51171875,0.282,0.596772526199232,0.533203125,0.116,1.2298325160260175,0.541015625,0.072,1.490072329326728,0.5810546875,0.0,4.26156399804613,0.59765625,0.0,3.697307257719847,0.580078125,0.0,2.886666618634308,0.52734375,0.084,1.4407601025690921,0.4833984375,0.834,-0.9076401502248056,0.5478515625,0.01,2.4622750906071644,0.5400390625
